epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
36,202.695,1.48081,3.26998,1.91929,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.00045745,0.00045745,0.00045745
37,208.256,1.35007,2.97217,1.63869,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000463392,0.000463392,0.000463392
38,213.536,1.69324,3.18392,1.829,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000468938,0.000468938,0.000468938
39,219.229,1.84626,3.12819,2.05557,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000474088,0.000474088,0.000474088
40,224.55,2.04962,3.10848,2.16906,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000478842,0.000478842,0.000478842
41,231.146,1.71969,3.17933,1.88303,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.0004832,0.0004832,0.0004832
42,234.774,1.51333,3.43012,1.98032,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000487162,0.000487162,0.000487162
43,238.321,1.4938,3.31548,1.76977,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000490728,0.000490728,0.000490728
44,242.248,1.7651,3.38928,2.13838,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000493898,0.000493898,0.000493898
45,245.698,1.78993,3.15229,2.01846,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000496672,0.000496672,0.000496672
46,249.129,1.57323,3.02221,1.95856,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.00049905,0.00049905,0.00049905
47,252.54,1.44561,3.32113,1.84411,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000501032,0.000501032,0.000501032
48,255.961,1.55119,3.48543,1.94138,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000502618,0.000502618,0.000502618
49,259.437,1.48397,3.22464,1.86304,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000503808,0.000503808,0.000503808
50,263.694,1.53089,3.2047,1.91021,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000504602,0.000504602,0.000504602
51,267.226,1.82362,3.37897,2.08788,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000505,0.000505,0.000505
52,270.678,1.51233,3.22628,1.87725,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000505002,0.000505002,0.000505002
53,274.122,1.17966,3.122,1.72532,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000504608,0.000504608,0.000504608
54,277.607,1.63672,3.49913,1.93129,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000503818,0.000503818,0.000503818
55,281.032,1.25902,3.34622,1.88945,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000502632,0.000502632,0.000502632
56,284.636,1.4831,3.55868,2.23648,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.00050105,0.00050105,0.00050105
57,288.06,1.83894,3.29689,2.24613,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000499072,0.000499072,0.000499072
58,291.494,1.29229,3.31014,1.92406,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000496698,0.000496698,0.000496698
59,294.998,1.70479,3.06095,1.89152,0.00333,0.33333,0.33611,0.16829,2.0883,3.5051,2.50868,0.000493928,0.000493928,0.000493928
60,298.643,1.58602,3.13912,2.06013,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000490762,0.000490762,0.000490762
61,302.631,1.11306,2.41303,1.41676,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.0004872,0.0004872,0.0004872
62,306.162,1.56886,2.66064,1.42149,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000483242,0.000483242,0.000483242
63,309.724,1.0346,2.4167,1.37131,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000478888,0.000478888,0.000478888
64,313.277,0.92766,2.20825,1.27908,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000474138,0.000474138,0.000474138
65,316.67,1.36232,2.35225,1.61775,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000468992,0.000468992,0.000468992
66,320.101,0.82667,2.34572,1.35793,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.00046345,0.00046345,0.00046345
67,323.518,0.99581,2.13626,1.45186,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000457512,0.000457512,0.000457512
68,327.422,0.81916,2.12131,1.23678,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000451178,0.000451178,0.000451178
69,330.889,0.9372,2.45226,1.39023,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000444448,0.000444448,0.000444448
70,334.339,0.98486,2.59137,1.43281,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000437322,0.000437322,0.000437322
71,337.829,0.73363,2.59688,1.23186,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.0004298,0.0004298,0.0004298
72,341.329,0.90057,2.24545,1.27028,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000421882,0.000421882,0.000421882
73,345.296,0.80966,2.1699,1.19713,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000413568,0.000413568,0.000413568
74,348.767,0.90579,2.15244,1.13564,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000404858,0.000404858,0.000404858
75,352.364,1.12715,2.22676,1.30252,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000395752,0.000395752,0.000395752
76,355.867,1.12658,2.18771,1.29697,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.00038625,0.00038625,0.00038625
77,359.321,1.01809,2.32669,1.21048,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000376352,0.000376352,0.000376352
78,362.909,0.99454,2.29476,1.31009,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000366058,0.000366058,0.000366058
79,366.419,0.85346,2.17856,1.3167,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000355368,0.000355368,0.000355368
80,369.917,1.29029,2.93864,1.74008,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000344282,0.000344282,0.000344282
81,373.383,0.76268,2.25847,1.14591,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.0003328,0.0003328,0.0003328
82,376.873,1.32293,2.41065,1.50308,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000320922,0.000320922,0.000320922
83,380.296,1.30832,2.44986,1.50315,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000308648,0.000308648,0.000308648
84,384.153,0.98329,2.29013,1.40419,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000295978,0.000295978,0.000295978
85,387.664,1.3366,2.30607,1.5377,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000282912,0.000282912,0.000282912
86,391.17,1.78944,2.74844,1.74266,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.00026945,0.00026945,0.00026945
87,394.979,1.17249,2.62722,1.69954,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000255592,0.000255592,0.000255592
88,398.402,1.24084,2.31906,1.21014,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000241338,0.000241338,0.000241338
89,401.813,0.99396,2.23695,1.38711,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000226688,0.000226688,0.000226688
90,405.256,1.14763,2.25539,1.25395,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000211642,0.000211642,0.000211642
91,408.71,0.84358,2.3645,1.35796,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.0001962,0.0001962,0.0001962
92,412.097,1.34475,2.21593,1.35498,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000180362,0.000180362,0.000180362
93,415.53,0.84068,2.18927,1.22828,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000164128,0.000164128,0.000164128
94,418.934,1.24444,2.08478,1.30982,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000147498,0.000147498,0.000147498
95,422.438,0.81677,2.27042,1.267,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.000130472,0.000130472,0.000130472
96,426.265,1.08504,2.38193,1.41548,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,0.00011305,0.00011305,0.00011305
97,429.989,0.87528,2.15429,1.21815,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,9.5232e-05,9.5232e-05,9.5232e-05
98,434.622,1.06153,2.37279,1.42461,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,7.7018e-05,7.7018e-05,7.7018e-05
99,439.709,0.87461,2.15128,1.23746,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,5.8408e-05,5.8408e-05,5.8408e-05
100,445.091,1.09733,2.32607,1.29929,0.01,1,0.3548,0.24439,1.33433,2.92612,1.55971,3.9402e-05,3.9402e-05,3.9402e-05
