epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.353,1.37717,2.88686,1.14008,0.02345,0.4697,0.30022,0.15502,1.5529,4.15847,1.22746,0.0883,0.0013,0.0013
2,400.595,1.6755,2.24269,1.38896,0.01174,0.35758,0.01932,0.00735,3.18734,9.35334,4.56146,0.0756109,0.0026109,0.0026109
3,587.125,1.68348,2.11905,1.41856,4e-05,0.01515,2e-05,1e-05,3.76032,111.976,14.32,0.0628294,0.0038294,0.0038294
4,770.855,1.61508,1.69005,1.42186,0.00014,0.06061,0.00012,3e-05,4.21447,1477.61,21.7237,0.0499555,0.0049555,0.0049555
5,960.52,1.60581,1.56708,1.45025,6e-05,0.01515,3e-05,1e-05,4.19893,3204.39,20.0537,0.0369892,0.0059892,0.0059892
6,1147.33,1.56728,1.54337,1.39662,0.03278,0.38811,0.0639,0.02912,2.75673,180.833,4.19657,0.0239305,0.0069305,0.0069305
7,1331.99,1.6175,1.62798,1.42194,0.32764,0.1014,0.08514,0.02896,3.16807,70.981,3.725,0.0107794,0.0077794,0.0077794
8,1513.83,1.56497,1.3992,1.37153,0.34754,0.13182,0.00393,0.00112,2.98555,229.552,4.73976,0.00769,0.00769,0.00769
9,1697.04,1.39283,1.33195,1.28147,0.16488,0.15152,0.16836,0.06821,2.41981,34.4577,2.10927,0.00736,0.00736,0.00736
10,1883.53,1.57006,1.4024,1.38224,0.35363,0.47669,0.33778,0.16462,1.71138,46.914,1.52783,0.00703,0.00703,0.00703
11,2069.6,1.58175,1.30909,1.38398,0.40531,0.32681,0.19754,0.08112,2.02826,66.6615,1.71622,0.0067,0.0067,0.0067
12,2258.34,1.4848,1.22867,1.34066,0.45101,0.3951,0.27598,0.17085,1.66439,150.649,1.50576,0.00637,0.00637,0.00637
13,2440.68,1.45017,1.19245,1.33848,0.7633,0.71035,0.72477,0.40779,1.6705,2.43423,1.36253,0.00604,0.00604,0.00604
14,2623.45,1.38302,1.09513,1.29519,0.74483,0.70513,0.72579,0.38331,1.51799,4.26092,1.33134,0.00571,0.00571,0.00571
15,2803.46,1.3528,1.0382,1.26051,0.80065,0.64487,0.68542,0.3358,1.69687,2.10893,1.36098,0.00538,0.00538,0.00538
16,2982.45,1.39167,1.04958,1.23979,0.67116,0.85202,0.79096,0.49649,1.45747,1.2152,1.21662,0.00505,0.00505,0.00505
17,3160.18,1.41907,1.0726,1.25256,0.85858,0.81788,0.85378,0.465,1.68204,1.41147,1.28838,0.00472,0.00472,0.00472
18,3338.36,1.28818,1.04278,1.22305,0.86818,0.86667,0.86835,0.42404,1.70339,1.04039,1.28011,0.00439,0.00439,0.00439
19,3515.5,1.33976,1.0322,1.21585,0.85389,0.90314,0.86732,0.46398,1.62769,1.07912,1.25708,0.00406,0.00406,0.00406
20,3689.85,1.30923,1.04858,1.22443,0.81989,0.91667,0.86225,0.50721,1.51488,1.0614,1.20461,0.00373,0.00373,0.00373
21,3858.66,1.23664,0.91753,1.16744,0.81182,0.88333,0.85004,0.4722,1.71089,1.01899,1.27472,0.0034,0.0034,0.0034
22,3973.55,1.36191,0.94861,1.22817,0.80473,0.82247,0.8625,0.44461,1.79303,1.04695,1.29523,0.00307,0.00307,0.00307
23,4074.27,1.22303,0.89297,1.15554,0.80753,0.85,0.86246,0.45005,1.75268,1.0221,1.28146,0.00274,0.00274,0.00274
24,4176.39,1.22516,0.8603,1.13897,0.82547,0.9,0.87522,0.49722,1.58976,0.99035,1.23175,0.00241,0.00241,0.00241
25,4278.01,1.15665,0.80027,1.12881,0.7863,0.86667,0.86474,0.51612,1.48048,0.9435,1.19468,0.00208,0.00208,0.00208
26,4380.27,1.22865,0.80882,1.16293,0.79263,0.89956,0.86341,0.51108,1.57576,0.92924,1.20859,0.00175,0.00175,0.00175
27,4481.88,1.26222,0.79058,1.16723,0.80412,0.90985,0.87309,0.49194,1.6333,0.91563,1.22516,0.00142,0.00142,0.00142
28,4581.29,1.23297,0.7821,1.14626,0.86715,0.86667,0.88261,0.49412,1.62101,0.8661,1.22315,0.00109,0.00109,0.00109
29,4680.66,1.21962,0.80638,1.15691,0.81606,0.91667,0.88419,0.50334,1.54451,0.83929,1.19411,0.00076,0.00076,0.00076
30,4783.9,1.12165,0.76584,1.10127,0.84616,0.91745,0.89958,0.51463,1.52815,0.84033,1.18567,0.00043,0.00043,0.00043
