epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.091,1.43091,3.02838,1.20067,0.15989,0.15128,0.12217,0.03034,2.44299,4.7434,1.90163,0.0883,0.0013,0.0013
2,483.548,1.71733,1.97407,1.40625,0.25671,0.58217,0.23189,0.08329,2.64805,4.04833,2.5168,0.0754327,0.0024327,0.0024327
3,744.077,1.63848,1.86817,1.39547,0.57738,0.24349,0.19328,0.08582,2.10531,3.58893,2.35786,0.0622882,0.0032882,0.0032882
4,929.21,1.75395,1.91181,1.54782,0.73352,0.54403,0.4704,0.21828,2.08007,4.11595,2.46471,0.0488665,0.0038665,0.0038665
5,1121.94,1.5811,1.63735,1.33392,0.36516,0.62436,0.49552,0.22028,2.26344,9.58661,2.43998,0.0351676,0.0041676,0.0041676
6,1304.96,1.49987,1.43299,1.30297,0.60766,0.19757,0.30811,0.16068,2.36539,8.34515,2.15838,0.0211915,0.0041915,0.0041915
7,1487.74,1.46743,1.18518,1.21796,0.86948,0.37466,0.44447,0.26201,2.13372,4.01496,1.93989,0.0069382,0.0039382,0.0039382
8,1669.16,1.37989,1.15842,1.2277,0.53078,0.75996,0.74915,0.37438,1.82183,4.32092,1.41256,0.00307,0.00307,0.00307
9,1846.4,1.4192,1.06684,1.23179,0.78435,0.77973,0.83334,0.41092,1.83327,2.12569,1.32071,0.00208,0.00208,0.00208
10,2027.28,1.43706,1.06695,1.21558,0.79418,0.81912,0.81593,0.4697,1.61947,1.42226,1.18199,0.00109,0.00109,0.00109
