epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.541,1.02796,0.73438,1.06721,0.83297,0.91521,0.89329,0.59602,1.25755,0.75116,1.08952,0.00013,0.00013,0.00013
2,354.458,0.97308,0.69471,1.07209,0.82735,0.9,0.89486,0.65893,1.06314,0.70098,1.05206,0.00024327,0.00024327,0.00024327
3,520.492,0.93925,0.69235,1.01026,0.82447,0.9067,0.89251,0.62927,1.13695,0.70881,1.06503,0.00032882,0.00032882,0.00032882
4,685.905,0.99247,0.68456,1.04474,0.83889,0.89464,0.89377,0.60458,1.16488,0.71389,1.06361,0.00038665,0.00038665,0.00038665
5,851.415,0.90572,0.6628,1.00686,0.83457,0.88333,0.89184,0.61595,1.15866,0.71773,1.06249,0.00041676,0.00041676,0.00041676
6,1019.01,0.92476,0.68781,1.01892,0.85353,0.85,0.87839,0.61509,1.17261,0.74099,1.08118,0.00041915,0.00041915,0.00041915
7,1193.84,0.9295,0.67102,1.01858,0.85512,0.85,0.87868,0.61258,1.18614,0.73884,1.08765,0.00039382,0.00039382,0.00039382
